,SPCD,DIA_cm,HT_m,STATUSCD,CBH_m,CROWN_RADIUS_m,X_m,Y_m
16532,122,20.066000000000003,15.5448,1,9.32688,1.2864515527340508,-2049033.3699401247,2089589.000885692
16533,122,16.256,14.0208,1,10.5156,0.725205532178509,-2049052.8455434744,2089597.7901254357
16534,122,16.256,14.0208,1,10.5156,0.725205532178509,-2049008.46760716,2089569.4772303752
16535,122,18.034,15.8496,1,11.8872,0.8197975581148362,-2049037.7313324297,2089618.952693512
16536,122,18.034,15.8496,1,11.8872,0.8197975581148362,-2049052.974542205,2089603.166491088
16537,122,28.194,21.9456,1,15.36192,1.3621251734831126,-2049005.04373796,2089579.682915495
16538,122,28.194,21.9456,1,15.36192,1.3621251734831126,-2049032.1446500588,2089575.293963794
16539,122,15.24,14.630400000000002,1,12.435840000000002,0.4540417244943708,-2049012.415669316,2089579.67530812
16540,122,20.32,16.764,1,11.7348,1.0405122852995996,-2049042.42144631,2089564.5550330789
16541,122,20.32,16.764,1,11.7348,1.0405122852995996,-2049041.4629932255,2089605.6748068165
16542,122,14.478000000000002,13.1064,1,9.8298,0.6779095192103454,-2049046.3470118304,2089576.0964533957
16543,122,14.478000000000002,13.1064,1,9.8298,0.6779095192103454,-2049001.5474677056,2089599.468968509
16544,122,13.716,6.7056,1,3.01752,0.76304234255304,-2049013.8647891933,2089610.7556038208
16545,122,13.716,6.7056,1,3.01752,0.76304234255304,-2049030.8768633804,2089610.700057292
16546,122,24.13,15.8496,1,9.50976,1.311676092983738,-2049023.9613823637,2089606.465193409
16547,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049019.520697082,2089581.025233323
16548,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049030.4478806455,2089615.175438204
16549,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049027.2853639503,2089611.1992157768
16550,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049027.9004366945,2089604.170715782
16551,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049026.230026276,2089560.957921173
16552,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049035.578199778,2089564.687217372
16553,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049042.8793743204,2089612.2141087616
16554,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049043.2517748151,2089604.4091482996
16555,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049045.9999349131,2089578.5083907703
16556,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049022.2389597688,2089610.794611303
16557,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049039.9232202796,2089594.3934459689
16558,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049028.932211453,2089568.1772258144
16559,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049045.3020730345,2089609.6667766732
16560,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049030.344545804,2089618.0736489284
16561,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049026.678908663,2089595.444456543
16562,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049035.259549192,2089617.5728081265
16563,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049040.7244364524,2089568.560771514
16564,122,18.542,10.9728,1,2.7432,1.7026564668538908,-2049025.404687913,2089608.4668383896
16565,122,18.542,10.9728,1,2.7432,1.7026564668538908,-2049042.0750265864,2089614.0212039952
16566,122,23.622000000000003,18.5928,1,9.2964,1.9233711940386544,-2049042.542468469,2089614.2459873424
16567,122,23.622000000000003,18.5928,1,9.2964,1.9233711940386544,-2049036.729611884,2089611.568772674
16568,122,20.32,16.154400000000003,1,4.846320000000002,2.3395761081584943,-2049033.1539153715,2089564.4044541237
16569,122,19.812,13.4112,1,6.03504,1.52608468510608,-2049035.276054012,2089583.0541657344
16570,122,59.944,31.0896,1,15.5448,3.2161288818351266,-2049038.9972001235,2089569.549987496
16571,122,59.944,31.0896,1,15.5448,3.2161288818351266,-2049017.970074121,2089615.8105946889
16572,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049038.554053156,2089611.3305744373
16573,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049007.8135769533,2089569.9468071884
16574,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049004.826406424,2089584.7487844424
16575,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049034.8892424407,2089614.015376872
16576,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049034.221944692,2089578.340778315
16577,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049024.065246001,2089608.7358808136
16578,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049015.9455986116,2089590.8053622216
16579,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049044.4015474012,2089581.7236424729
16580,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049009.38947092,2089569.7197607348
16581,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049017.629459596,2089598.1803399068
16582,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049018.5707033349,2089601.4154437035
16583,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049030.2087240703,2089615.230080434
16584,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049050.0527604348,2089576.2268920564
16585,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049035.966506708,2089571.704616153
16586,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049028.2003000304,2089584.584276357
16587,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049032.1015652465,2089572.3401233875
16588,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049023.532935154,2089569.3185228528
16589,122,77.978,34.7472,1,15.636239999999995,3.95394668413848,-2049026.0898551047,2089603.4043018937
16590,122,75.18400000000001,34.1376,1,11.948159999999998,4.590866325443083,-2049030.943716448,2089567.6161660303
16591,122,74.422,32.004000000000005,1,14.4018,3.6417929985486,-2049007.3490036696,2089603.7384843628
16592,122,13.208,11.5824,1,5.212079999999999,1.31798222804616,-2049037.1689592823,2089573.97019303
16593,122,13.208,9.4488,1,4.25196,1.07519602814292,-2049024.572076734,2089604.546748178
16594,122,12.954,9.144,1,4.572,0.9459202593632724,-2049046.862736632,2089585.3801353732
16595,122,12.954,9.144,1,4.572,0.9459202593632724,-2049006.6805349512,2089578.102720592
16596,122,36.576,26.5176,1,14.58468,2.4688518769381416,-2049005.0242540855,2089583.7844853185
16597,122,36.576,26.5176,1,14.58468,2.4688518769381416,-2049000.049913871,2089560.8879680748
16598,122,22.606,19.2024,1,12.481560000000002,1.3905027812640107,-2048997.80054945,2089602.0297741576
16599,122,22.606,19.2024,1,12.481560000000002,1.3905027812640107,-2049001.5365044733,2089587.111359132
16600,122,25.4,19.812,1,11.68908,1.6805849941354143,-2048988.3537025969,2089595.786692655
16601,122,25.4,19.812,1,11.68908,1.6805849941354143,-2048992.271299584,2089608.588637968
16602,122,26.924,21.336,1,10.668,2.2071472718476364,-2048985.5545286615,2089571.3022326864
16603,122,26.924,21.336,1,10.668,2.2071472718476364,-2049003.7005172216,2089602.4802932865
16604,122,13.97,15.24,1,11.43,0.7882668828027272,-2049001.848483271,2089607.8988059217
16605,122,15.494,13.4112,2,,,-2049015.895517688,2089602.647891058
16606,122,15.494,13.4112,2,,,-2048974.702416948,2089586.3639663048
16607,122,,,2,,,-2048987.7500692937,2089605.7070691648
16608,122,22.606,19.2024,1,10.56132,1.7877892901965853,-2048989.2545834563,2089603.3700306776
16609,122,22.606,19.2024,1,10.56132,1.7877892901965853,-2049022.8824260584,2089601.8886169856
16610,122,17.526,14.3256,1,12.176760000000002,0.4445825219007381,-2049017.307616124,2089583.363596324
16611,122,17.526,14.3256,1,12.176760000000002,0.4445825219007381,-2049006.685819716,2089578.9748357988
16612,108,29.464,24.0792,1,15.65148,1.7436463447596322,-2049004.8094114189,2089569.3773488267
16613,108,26.162000000000003,25.6032,1,15.36192,2.1188613809737307,-2048994.2507071455,2089610.9781606412
16614,108,26.162000000000003,25.6032,1,15.36192,2.1188613809737307,-2049016.910957092,2089582.6098190525
16615,108,20.32,22.555200000000003,2,,,-2048981.7450468508,2089577.4598011896
16616,108,29.21,26.2128,1,19.6596,1.3558190384206907,-2049007.5362235704,2089600.048949044
16617,108,29.21,26.2128,1,19.6596,1.3558190384206907,-2048985.7248888144,2089596.7942428836
16618,122,17.018,14.0208,1,7.71144,1.3053699579213165,-2049027.4301978943,2089592.6062594631
16619,122,17.018,14.0208,1,7.71144,1.3053699579213165,-2048977.9374053716,2089595.351986617
16620,122,,,2,,,-2049025.252899182,2089594.1417602403
16621,122,68.58,35.3568,1,19.44624,3.2918025025841886,-2049019.6598792423,2089583.311258499
16622,122,12.7,11.5824,1,6.94944,0.9585325294881162,-2049009.57070314,2089564.782797422
16623,108,13.208,10.9728,1,6.03504,1.0215938801123343,-2048990.337299736,2089610.258002021
16624,108,36.322,26.8224,1,10.72896,3.32963931295872,-2049009.446877074,2089569.6333412083
16625,108,21.082,19.2024,1,10.56132,1.7877892901965853,-2049005.299742577,2089599.9338632044
16626,108,16.764,10.0584,1,5.0292,1.0405122852995998,-2049004.2177557703,2089612.5397324627
16627,108,22.606,16.764,1,7.543799999999999,1.9076058563826,-2049002.81424434,2089565.6080099076
16628,108,22.606,16.764,1,7.543799999999999,1.9076058563826,-2049025.418649722,2089602.4857562624
16629,122,28.702,20.1168,1,10.0584,2.0810245705992,-2048984.090112124,2089596.5076666053
16630,122,35.052,21.6408,1,8.656320000000001,2.686413536591694,-2048987.4869568227,2089604.735899463
16631,122,92.456,35.052,1,10.515600000000004,5.076438725249562,-2048991.2675236631,2089573.4912574328
16632,122,18.288,15.8496,1,9.50976,1.311676092983738,-2049001.9042208756,2089565.872342316
16633,122,51.308,26.5176,1,13.2588,2.7431687521534904,-2049000.1303829877,2089613.7526894812
16634,122,42.672,22.86,1,14.859,1.655360453885727,-2048994.6717122523,2089606.3091072368
16635,108,25.146,14.9352,1,9.70788,1.0815021632053416,-2049008.9506203097,2089599.654696721
16636,108,25.146,14.9352,1,9.70788,1.0815021632053416,-2048998.813732505,2089569.327785838
16637,122,21.844,17.0688,1,11.94816,1.0594306904868651,-2048976.805106288,2089596.5778479653
16638,122,21.844,17.0688,1,11.94816,1.0594306904868651,-2049020.5581813827,2089583.5651207727
16639,122,14.478000000000002,14.630400000000002,1,10.9728,0.7567362074906181,-2048990.02462992,2089574.813002337
16640,122,14.478000000000002,14.630400000000002,1,10.9728,0.7567362074906181,-2048982.046550145,2089609.158247516
16641,122,16.256,11.8872,1,9.50976,0.4918785348689017,-2048980.717655247,2089609.2457864725
16642,122,13.716,11.5824,1,9.26592,0.4792662647440581,-2048979.8396994264,2089588.2573849056
16643,122,13.716,11.5824,1,9.26592,0.4792662647440581,-2049008.560752746,2089599.274032065
16644,122,20.066000000000003,15.5448,1,9.32688,1.2864515527340508,-2048986.766729956,2089609.759643024
16645,122,16.256,14.0208,1,10.5156,0.725205532178509,-2049020.2975145683,2089610.1872590212
16646,122,16.256,14.0208,1,10.5156,0.725205532178509,-2049023.5998869136,2089594.868904223
16647,122,18.034,15.8496,1,11.8872,0.8197975581148362,-2049002.38276998,2089581.8370485825
16648,122,18.034,15.8496,1,11.8872,0.8197975581148362,-2048998.1041302576,2089574.9157776264
16649,122,28.194,21.9456,1,15.36192,1.3621251734831126,-2049013.452586291,2089587.179285781
16650,122,15.24,14.630400000000002,1,12.435840000000002,0.4540417244943708,-2048982.3573525683,2089592.5399298936
16651,122,15.24,14.630400000000002,1,12.435840000000002,0.4540417244943708,-2049016.5490805812,2089612.4822760825
16652,122,20.32,16.764,1,11.7348,1.0405122852995996,-2049010.7590820363,2089615.1966947396
16653,122,20.32,16.764,1,11.7348,1.0405122852995996,-2049017.586639741,2089602.968230803
16654,122,14.478000000000002,13.1064,1,9.8298,0.6779095192103454,-2048988.3453344705,2089611.2717426275
16655,122,13.716,6.7056,1,3.01752,0.76304234255304,-2048985.111371617,2089579.0257417671
16656,122,13.716,6.7056,1,3.01752,0.76304234255304,-2048994.2677629464,2089571.4263564495
16657,122,24.13,15.8496,1,9.50976,1.311676092983738,-2048986.4072385223,2089566.41954484
16658,122,24.13,15.8496,1,9.50976,1.311676092983738,-2049016.3288190973,2089579.4626548896
16659,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049001.908377892,2089568.758461197
16660,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048983.2760787436,2089578.6594896505
16661,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048988.3212557,2089613.0828622773
16662,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049003.763483945,2089578.8519790084
16663,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048996.9411532567,2089588.8692948336
16664,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048971.3589542625,2089593.8795664653
